装备信息,,,,,,表示套装在对应职业下的排列顺序，排序越小越靠前,,,,,,,,,,,,,,,,,,
装备名称,装备部位,装备 ID,对应套装名称,对应套装 ID,套装数量,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,元素师,魔道学者,圣骑士,正义审判者,驱魔师,除恶者,蓝拳使者,暗殿骑士,契魔者,流浪武士,
记忆支配者腰带,腰带,,玄冥精灵重甲套装,52,5,,,,,,,,,,,,,,,,,,,
黄金庇佑甲胄,上衣,,灿烂的荣誉套装,53,5,,,,,,,,,,,,,,,,,,,
黄金庇佑战靴,鞋,,灿烂的荣誉套装,53,5,,,,,,,,,,,,,,,,,,,
黄金庇佑护腰,腰带,,灿烂的荣誉套装,53,5,,,,,,,,,,,,,,,,,,,
黄金庇佑肩甲,头肩,,灿烂的荣誉套装,53,5,,,,,,,,,,,,,,,,,,,
黄金庇佑腿甲,下装,,灿烂的荣誉套装,53,5,,,,,,,,,,,,,,,,,,,
古代宝石守护者腰带,腰带,,古代遗迹守护者板甲套装,54,5,,,,,,,,,,,,,,,,,,,
古代文献守护者肩甲,头肩,,古代遗迹守护者板甲套装,54,5,,,,,,,,,,,,,,,,,,,
古代遗迹守护者护腿,下装,,古代遗迹守护者板甲套装,54,5,,,,,,,,,,,,,,,,,,,
古代遗迹守护者胸甲,上衣,,古代遗迹守护者板甲套装,54,5,,,,,,,,,,,,,,,,,,,
古代遗迹守护者战靴,鞋,,古代遗迹守护者板甲套装,54,5,,,,,,,,,,,,,,,,,,,
方寸之决胜者上衣,上衣,,方寸之决胜者套装,55,5,,,,,,,,,,,,,,,,,,,
方寸之决胜者下装,下装,,方寸之决胜者套装,55,5,,,,,,,,,,,,,,,,,,,
方寸之决胜者护肩,头肩,,方寸之决胜者套装,55,5,,,,,,,,,,,,,,,,,,,
方寸之决胜者长靴,鞋,,方寸之决胜者套装,55,5,,,,,,,,,,,,,,,,,,,
方寸之决胜者腰带,腰带,,方寸之决胜者套装,55,5,,,,,,,,,,,,,,,,,,,
舰长的烈焰盾胸甲,上衣,,舰长的烈焰盾套装,56,5,,,,,,,,,,,,,,,,,,,
舰长的烈焰盾绑腿,下装,,舰长的烈焰盾套装,56,5,,,,,,,,,,,,,,,,,,,
舰长的烈焰盾头盔,头肩,,舰长的烈焰盾套装,56,5,,,,,,,,,,,,,,,,,,,
舰长的烈焰盾战靴,鞋,,舰长的烈焰盾套装,56,5,,,,,,,,,,,,,,,,,,,
舰长的烈焰盾腰带,腰带,,舰长的烈焰盾套装,56,5,,,,,,,,,,,,,,,,,,,
波动谐鸣项链,项链,,波动谐鸣套装,57,3,,,,,,,,,,,,,,,,,,,
波动谐鸣手镯,手镯,,波动谐鸣套装,57,3,,,,,,,,,,,,,,,,,,,
波动谐鸣戒指,戒指,,波动谐鸣套装,57,3,,,,,,,,,,,,,,,,,,,
斗者之护符,辅助装备,,,58,1,,,,,,,,,,,,,,,,,,,
混沌：预言者的静夜短裙,下装,,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,,
混沌：预言者的静夜风衣,上衣,,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,,
混沌：预言者的静夜肩甲,头肩,,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,,
混沌：预言者的静夜鞋子,鞋,,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,,
混沌：预言者的静夜腰带,腰带,,静夜之预言者套装,59,5,1,,,,1,,,,1,,,,1,,,,,,
混沌：白日梦想家,上衣,,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,,
混沌：叮当洋装,下装,,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,,
混沌：妙妙毛帽子,头肩,,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,,
混沌：踢踏短靴,鞋,,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,,
混沌：傲娇猫咪,腰带,,艾莉的外出服套装,60,5,2,,,,2,,,,,,,,2,,,,,,
混沌：愤怒魔女的炙焰长袍,上衣,,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,,
混沌：愤怒魔女的炙焰长裤,下装,,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,,
混沌：愤怒魔女的炙焰斗篷,头肩,,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,,
混沌：敏捷魔女的靴子,鞋,,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,,
混沌：狡猾魔女的腰带,腰带,,愤怒魔女的炙焰战袍套装,61,5,,,,,,,,,2,,,,,,,,,,
混沌：清辉天女上衣,上衣,,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,,
混沌：清辉天女短裙,下装,,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,,
混沌：清辉天女围巾,头肩,,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,,
混沌：清辉天女短靴,鞋,,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,,
混沌：清辉天女腰带,腰带,,清辉天女套装,62,5,,,,,,,,,,,,,,,,,,,
混沌：潜行者的锋芒夹克,上衣,,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1,
混沌：潜行者的锋芒肩带,头肩,,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1,
混沌：潜行者的锋芒腰带,腰带,,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1,
混沌：潜行者的锋芒长裤,下装,,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1,
混沌：潜行者的锋芒长靴,鞋,,史黛西的潜行服套装,63,5,,,,,,,1,,,1,,,,,,,,1,
混沌：荒野的标记,上衣,,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2,
混沌：胜利的标记,下装,,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2,
混沌：苦难的标记,头肩,,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2,
混沌：追踪的标记,鞋,,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2,
混沌：狩猎的标记,腰带,,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2,
混沌：火焰赫瑞克的炎甲上衣,上衣,,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲下装,下装,,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲护肩,头肩,,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲长靴,鞋,,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲腰带,腰带,,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽胸甲,上衣,,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽护腿,下装,,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽肩甲,头肩,,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽靴子,鞋,,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽腰带,腰带,,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,,
混沌：克罗姆的生命护甲,头肩,,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,,1
混沌：克罗姆的生命护腿,上衣,,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,,1
混沌：克罗姆的生命护肩,下装,,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,,1
混沌：克罗姆的元气靴子,腰带,,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,,1
混沌：克罗姆的力量腰带,鞋,,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,,1
混沌：达丽雅·斯科特的改良上衣,上衣,,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,,2
混沌：达丽雅·斯科特的改良下装,下装,,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,,2
混沌：达丽雅·斯科特的战斗头肩,头肩,,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,,2
混沌：达丽雅·斯科特的轻甲战靴,鞋,,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,,2
混沌：达丽雅·斯科特的轻甲腰带,腰带,,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,,2
混沌：千钧之羽护肩,头肩,,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,,
混沌：千钧之羽上衣,上衣,,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,,
混沌：千钧之羽下装,下装,,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,,
混沌：千钧之羽腰带,腰带,,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,,
混沌：千钧之羽战靴,鞋,,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,,
混沌：漂浮的黑暗,上衣,,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,,
混沌：临近的暗淡,下装,,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,,
混沌：渐亮的黎明,头肩,,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,,
混沌：前进的勇气,鞋,,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,,
混沌：破碎的黄昏,腰带,,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,,
混沌：黑暗中的盲人,上衣,,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,,
混沌：声音扭曲的支配者,下装,,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,,
混沌：来自深渊的人,头肩,,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,,
混沌：海底潜行者,鞋,,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,,
混沌：吞海者,腰带,,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,,
混沌：歼灭机器,下装,,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,,
混沌：溃灭装置,鞋,,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,,
混沌：漆黑的巨型机器,上衣,,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,,
混沌：亡者登场,头肩,,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,,
混沌：无尽追击,腰带,,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,,
混沌：巨树守护者罗丁的心智胸甲,上衣,,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的根源腿甲,下装,,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的树皮头盔,头肩,,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的树桩长靴,鞋,,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的枝干腰带,腰带,,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,,
混沌：空间支配者胸甲,上衣,,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,,
混沌：次元支配者裤子,下装,,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,,
混沌：时间支配者斗篷,头肩,,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,,
混沌：光辉支配者靴子,鞋,,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,,
混沌：记忆支配者腰带,腰带,,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,,
混沌：黄金庇佑甲胄,上衣,,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,,
混沌：黄金庇佑战靴,鞋,,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,,
混沌：黄金庇佑护腰,腰带,,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,,
混沌：黄金庇佑肩甲,头肩,,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,,
混沌：黄金庇佑腿甲,下装,,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,,
混沌：古代宝石守护者腰带,腰带,,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,,
混沌：古代文献守护者肩甲,头肩,,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,,
混沌：古代遗迹守护者护腿,下装,,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,,
混沌：古代遗迹守护者胸甲,上衣,,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,,
混沌：古代遗迹守护者战靴,鞋,,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,,
混沌：方寸之决胜者上衣,上衣,,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者下装,下装,,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者护肩,头肩,,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者长靴,鞋,,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者腰带,腰带,,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾胸甲,上衣,,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾绑腿,下装,,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾头盔,头肩,,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾战靴,鞋,,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾腰带,腰带,,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,,
混沌：波动谐鸣项链,项链,,波动谐鸣套装,79,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
混沌：波动谐鸣手镯,手镯,,波动谐鸣套装,79,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
混沌：波动谐鸣戒指,戒指,,波动谐鸣套装,79,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
